"CountryName","CountryCode","Date","ConfirmedCases","ConfirmedDeaths","StringencyIndex","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","E1_Income.support","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines"
"Netherlands","NLD",2020-03-17,1413,24,62.04,3,3,2,3,0,1,1,0,2,0,10976048954,0,2,1,1,0,0
"Netherlands","NLD",2020-03-18,1705,43,62.04,3,3,2,3,0,1,1,0,2,0,0,0,2,1,1,0,0
"Netherlands","NLD",2020-03-19,2051,58,70.37,3,3,2,3,0,1,1,3,2,0,0,0,2,1,1,0,0
"Netherlands","NLD",2020-03-20,2460,76,70.37,3,3,2,3,0,1,1,3,2,0,0,0,2,1,1,0,0
"Netherlands","NLD",2020-03-21,2994,106,70.37,3,3,2,3,0,1,1,3,2,0,0,0,2,1,1,0,0
"Netherlands","NLD",2020-03-22,3631,136,70.37,3,3,2,3,0,1,1,3,2,0,0,0,2,1,1,0,0
"Netherlands","NLD",2020-03-23,4204,179,74.07,3,3,2,3,0,2,1,3,2,0,0,0,2,1,1,0,0
"Netherlands","NLD",2020-03-24,4749,213,74.07,3,3,2,3,0,2,1,3,2,0,0,0,2,1,1,0,0
"Netherlands","NLD",2020-03-25,5560,276,74.07,3,3,2,3,0,2,1,3,2,0,0,0,2,1,1,0,0
"Netherlands","NLD",2020-03-26,6412,356,74.07,3,3,2,3,0,2,1,3,2,0,0,0,2,1,1,0,0
"Netherlands","NLD",2020-03-27,7431,434,74.07,3,3,2,3,0,2,1,3,2,0,0,0,2,1,1,0,0
"Netherlands","NLD",2020-03-28,8603,546,74.07,3,3,2,3,0,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-03-29,9762,639,74.07,3,3,2,3,0,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-03-30,10866,771,74.07,3,3,2,3,0,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-03-31,11750,864,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-04-01,12595,1039,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-04-02,13614,1173,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-04-03,14697,1339,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,25701603,0
"Netherlands","NLD",2020-04-04,15723,1487,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-04-05,16627,1651,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-04-06,17851,1766,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-04-07,18803,1867,79.63,3,3,2,3,1,2,1,3,2,1,121834143,0,2,1,1,0,0
"Netherlands","NLD",2020-04-08,19580,2101,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-04-09,20549,2248,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-04-10,21762,2396,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-04-11,23097,2511,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-04-12,24413,2643,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-04-13,25587,2737,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-04-14,26551,2823,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-04-15,27419,2945,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-04-16,28153,3134,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-04-17,29214,3315,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
"Netherlands","NLD",2020-04-18,30449,3459,79.63,3,3,2,3,1,2,1,3,2,1,0,0,2,1,1,0,0
